src,trg,weight
Sweet and sour red cabbage,Tsukemono,0.2
Sweet and sour red cabbage,Boulets Liégeoise,0.14285714285714285
Flygande Jacob,Arroz con pollo,0.25
Flygande Jacob,Yaki Udon,0.14285714285714285
Flygande Jacob,Omurice,0.2307692307692308
Flygande Jacob,Cazuela Gaucho,0.13636363636363635
Flygande Jacob,Fried Chicken Waffles,0.13333333333333333
Flygande Jacob,Clam Chowder,0.13333333333333333
Flygande Jacob,Pot Roast,0.13333333333333333
Flygande Jacob,Tahcheen,0.14285714285714285
Flygande Jacob,Joojeh labab,0.16666666666666666
Flygande Jacob,Morgh polou,0.21428571428571427
Flygande Jacob,Kadinbudu köfte,0.13333333333333333
Flygande Jacob,Stoemp Aux Carottes,0.14285714285714285
Flygande Jacob,Vol-Au-Vent,0.13333333333333333
Inkokt Lax,Toast Skagen,0.15
Inkokt Lax,Inladg Sill,0.2631578947368421
Inkokt Lax,Julskinka,0.125
Inkokt Lax,Pinchitos,0.14285714285714285
Inkokt Lax,Berenjenas en Escabeche,0.1111111111111111
Inkokt Lax,Macaroni Salad,0.15789473684210525
Inkokt Lax,Osso Bucco,0.12
Inkokt Lax,Lamb chops,0.1111111111111111
Inkokt Lax,Konijn Met Bier,0.14285714285714285
Brunkål,Tsukemono,0.3333333333333333
Brunkål,Karaage,0.16666666666666666
Brunkål,Lamb chops,0.2
Kavring,Knäckebröd,0.25
Kavring,Hönökaka,0.15384615384615385
Stekt strömming,Korvstroganoff,0.16666666666666666
Blåbärssmulpaj,Våfflor,0.25
Blåbärssmulpaj,Beignets,0.25
Blåbärssmulpaj,Key Lime Bars,0.25
Blåbärssmulpaj,Ciambella,0.25
Blåbärssmulpaj,Sfenj,0.2857142857142857
Blåbärssmulpaj,Boyoz,0.2
Korvstroganoff,Hasselbackspotatis,0.16666666666666666
Korvstroganoff,Pan con Tomate,0.2
Korvstroganoff,Costillas de cerdo a la riojana,0.16666666666666666
Korvstroganoff,Jambalaya,0.15384615384615385
Korvstroganoff,Mirza Ghasemi,0.16666666666666666
Korvstroganoff,Tabouleh,0.2857142857142857
Raggmunk,Hönökaka,0.2222222222222222
Raggmunk,Kåldomar,0.2
Raggmunk,Janssons Frestelse,0.25
Raggmunk,Kanelbullar,0.3333333333333333
Raggmunk,Våfflor,0.2857142857142857
Raggmunk,Roscón de Reyes,0.2222222222222222
Raggmunk,Croquetas de papa,0.2307692307692308
Raggmunk,Natillas,0.3333333333333333
Raggmunk,Croquetas de jamón,0.3333333333333333
Raggmunk,Korokke,0.3333333333333333
Raggmunk,Karaage,0.2
Raggmunk,Tonkotsu Ramen,0.25
Raggmunk,Bolas de Fraile,0.4
Raggmunk,Fainá,0.2
Raggmunk,Fugazza,0.2857142857142857
Raggmunk,Mac and Cheese,0.5
Raggmunk,Corn Bread,0.3333333333333333
Raggmunk,Beignets,0.2857142857142857
Raggmunk,Fried Chicken Waffles,0.2222222222222222
Raggmunk,Chicken Fried Steak,0.375
Raggmunk,Clam Chowder,0.2222222222222222
Raggmunk,Chicken Pot Pie,0.18181818181818185
Raggmunk,Onion Rings,0.4
Raggmunk,Pancakes,0.4
Raggmunk,Lasagne alla bolognese,0.17647058823529413
Raggmunk,Vegetable Fritto Misto,0.18181818181818185
Raggmunk,Chicken Saltimbocca,0.2222222222222222
Raggmunk,Polpette,0.375
Raggmunk,Ghormeh Sabzi,0.16666666666666666
Raggmunk,Koufteh ghelgheli,0.2222222222222222
Raggmunk,Latkeh,0.42857142857142855
Raggmunk,Rugelach,0.16666666666666666
Raggmunk,Khachapuri,0.2
Raggmunk,Simit,0.4
Raggmunk,Kazandibi,0.2857142857142857
Raggmunk,Keşkül,0.2857142857142857
Raggmunk,Kiymali pide,0.16666666666666666
Raggmunk,Yayla çorbası,0.25
Raggmunk,Waffles,0.3333333333333333
Raggmunk,Fish Balls,0.2222222222222222
Raggmunk,Gegratineerd Witloof,0.18181818181818185
Raggmunk,Oliebollen,0.25
Raggmunk,Carbonnade À La Flamande,0.2
Toast Skagen,Roscón de Reyes,0.14285714285714285
Toast Skagen,Vegetable Fritto Misto,0.125
