src,trg,weight
Sweet and sour red cabbage,Inkokt Lax,0.058823529411764705
Sweet and sour red cabbage,Brunkål,0.1111111111111111
Sweet and sour red cabbage,Kavring,0.09090909090909091
Sweet and sour red cabbage,Knäckebröd,0.1
Sweet and sour red cabbage,Inladg Sill,0.07692307692307693
Sweet and sour red cabbage,Gravlax,0.09090909090909091
Sweet and sour red cabbage,Mojo Picon,0.125
Sweet and sour red cabbage,Pinchitos,0.07692307692307693
Sweet and sour red cabbage,Ajo Blanco,0.125
Sweet and sour red cabbage,Okinawa Soba,0.09090909090909091
Sweet and sour red cabbage,Tsukemono,0.2
Sweet and sour red cabbage,Ebi Nigiri,0.16666666666666666
Sweet and sour red cabbage,Karaage,0.09090909090909091
Sweet and sour red cabbage,Matambre,0.1
Sweet and sour red cabbage,Bread Pudding,0.07142857142857142
Sweet and sour red cabbage,Macaroni Salad,0.09090909090909091
Sweet and sour red cabbage,Antipasti,0.1
Sweet and sour red cabbage,Penne all'arrabbiata,0.07692307692307693
Sweet and sour red cabbage,Torshi seer,0.125
Sweet and sour red cabbage,Rugelach,0.07692307692307693
Sweet and sour red cabbage,Lamb chops,0.1111111111111111
Sweet and sour red cabbage,Boulets Liégeoise,0.14285714285714285
Sweet and sour red cabbage,Belgian Loaf,0.07142857142857142
Flygande Jacob,Kåldomar,0.058823529411764705
Flygande Jacob,Janssons Frestelse,0.06666666666666667
Flygande Jacob,Wallenbergare,0.07142857142857142
Flygande Jacob,Ärtsoppa,0.0625
Flygande Jacob,Köttbullar,0.05555555555555555
Flygande Jacob,CROQUETAS DE ATÚN,0.043478260869565216
Flygande Jacob,Sopa de Albóndigas,0.11764705882352941
Flygande Jacob,Sofrito,0.0625
Flygande Jacob,Empanadas,0.047619047619047616
Flygande Jacob,Arroz con pollo,0.25
Flygande Jacob,Paella Catalana,0.058823529411764705
Flygande Jacob,Pisto,0.05555555555555555
Flygande Jacob,Gambas al ajillo,0.058823529411764705
Flygande Jacob,Cocido Madrileño,0.05263157894736842
Flygande Jacob,Pollo al ajillo,0.08333333333333333
Flygande Jacob,Escalivada,0.06666666666666667
Flygande Jacob,Chankonabe,0.04
Flygande Jacob,Yaki Udon,0.14285714285714285
Flygande Jacob,Katsudon,0.05555555555555555
Flygande Jacob,Nikuman,0.043478260869565216
Flygande Jacob,Kare Udon,0.11764705882352941
Flygande Jacob,Omurice,0.23076923076923078
Flygande Jacob,Yakitori,0.08333333333333333
Flygande Jacob,Karaage,0.058823529411764705
Flygande Jacob,Gyuudon,0.06666666666666667
Flygande Jacob,Teppanyaki Chicken,0.058823529411764705
Flygande Jacob,Ensalada Criolla,0.07142857142857142
Flygande Jacob,Sorrentino de pollo,0.05263157894736842
Flygande Jacob,Cazuela Gaucho,0.13636363636363635
Flygande Jacob,Huevos en Colchón de arvejas,0.07142857142857142
Flygande Jacob,Guiso,0.1
Flygande Jacob,Carbonada Criolla,0.047619047619047616
Flygande Jacob,Milanesa de peceto,0.07142857142857142
Flygande Jacob,Trucha a la Plancha,0.08333333333333333
Flygande Jacob,Tomates Rellenos,0.07692307692307693
Flygande Jacob,Asado de Tira,0.08333333333333333
Flygande Jacob,Fugazzeta,0.06666666666666667
Flygande Jacob,Locro,0.06666666666666667
Flygande Jacob,Salisbury Steak,0.07692307692307693
Flygande Jacob,Macaroni Salad,0.058823529411764705
Flygande Jacob,Fried Chicken Waffles,0.13333333333333333
Flygande Jacob,Club Sandwich,0.05555555555555555
Flygande Jacob,Chicken Fried Steak,0.0625
Flygande Jacob,Banana Bread,0.07692307692307693
Flygande Jacob,Clam Chowder,0.13333333333333333
Flygande Jacob,Buffalo Wings,0.07692307692307693
Flygande Jacob,Pot Roast,0.13333333333333333
Flygande Jacob,Chicken Pot Pie,0.11764705882352941
Flygande Jacob,Chicken Parmesean,0.125
Flygande Jacob,Jambalaya,0.05
Flygande Jacob,Panna cotta,0.07692307692307693
Flygande Jacob,Pizza Margherita,0.0625
Flygande Jacob,Pasta Carbonara,0.07692307692307693
Flygande Jacob,Osso Bucco,0.09090909090909091
Flygande Jacob,Antipasti,0.0625
Flygande Jacob,Chicken Saltimbocca,0.0625
Flygande Jacob,Penne all'arrabbiata,0.05263157894736842
Flygande Jacob,Risotto alla milanese,0.06666666666666667
Flygande Jacob,Tortellini in brodo,0.0625
Flygande Jacob,Osso Bucco alla milanese,0.09090909090909091
Flygande Jacob,Cassata,0.047619047619047616
Flygande Jacob,Khoreshte Bademjan,0.05263157894736842
Flygande Jacob,Khoreshteh Fesenjan,0.0625
Flygande Jacob,Abgousht,0.11764705882352941
Flygande Jacob,Adas polo,0.06666666666666667
Flygande Jacob,Loubia polow,0.05555555555555555
Flygande Jacob,Tahcheen,0.14285714285714285
Flygande Jacob,Kookoo sibzamin,0.07142857142857142
Flygande Jacob,Kabab koubideh,0.07142857142857142
Flygande Jacob,Joojeh labab,0.16666666666666666
Flygande Jacob,Dolmeh,0.05555555555555555
Flygande Jacob,Ash-e jo,0.05555555555555555
Flygande Jacob,Morgh polou,0.21428571428571427
Flygande Jacob,Gheyme Nesar,0.045454545454545456
Flygande Jacob,Sholeh-zard,0.06666666666666667
